C_0,C_a
1.24410000E-02,3.23300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
8.03650000E-03,1.12300000E-06 
1.24410000E-02,3.23300000E-06 
