mass (Kg),length (m)
1.50000000E+05,0.00000000E+00 
7.00000000E+04,-1.20260000E+01 
7.00000000E+04,-2.40520000E+01 
7.00000000E+04,-3.60780000E+01 
7.00000000E+04,-4.81040000E+01 
7.00000000E+04,-6.01300000E+01 
7.00000000E+04,-7.21560000E+01 
7.00000000E+04,-8.41820000E+01 
7.00000000E+04,-9.62080000E+01 
7.00000000E+04,-1.08234000E+02 
7.00000000E+04,-1.20260000E+02 
7.00000000E+04,-1.32286000E+02 
7.00000000E+04,-1.44312000E+02 
7.00000000E+04,-1.56338000E+02 
7.00000000E+04,-1.68364000E+02 
7.00000000E+04,-1.80390000E+02 
7.00000000E+04,-1.92416000E+02 
7.00000000E+04,-2.04442000E+02 
7.00000000E+04,-2.16468000E+02 
7.00000000E+04,-2.28494000E+02 
7.00000000E+04,-2.40520000E+02 
7.00000000E+04,-2.52546000E+02 
7.00000000E+04,-2.64572000E+02 
7.00000000E+04,-2.76598000E+02 
7.00000000E+04,-2.88624000E+02 
7.00000000E+04,-3.00650000E+02 
7.00000000E+04,-3.12676000E+02 
7.00000000E+04,-3.24702000E+02 
7.00000000E+04,-3.36728000E+02 
7.00000000E+04,-3.48754000E+02 
7.00000000E+04,-3.60780000E+02 
7.00000000E+04,-3.72806000E+02 
7.00000000E+04,-3.84832000E+02 
7.00000000E+04,-3.96858000E+02 
7.00000000E+04,-4.08884000E+02 
7.00000000E+04,-4.20910000E+02 
7.00000000E+04,-4.32936000E+02 
7.00000000E+04,-4.44962000E+02 
7.00000000E+04,-4.56988000E+02 
7.00000000E+04,-4.69014000E+02 
7.00000000E+04,-4.81040000E+02 
7.00000000E+04,-4.93066000E+02 
7.00000000E+04,-5.05092000E+02 
7.00000000E+04,-5.17118000E+02 
7.00000000E+04,-5.29144000E+02 
7.00000000E+04,-5.41170000E+02 
7.00000000E+04,-5.53196000E+02 
7.00000000E+04,-5.65222000E+02 
7.00000000E+04,-5.77248000E+02 
7.00000000E+04,-5.89274000E+02 
7.00000000E+04,-6.01300000E+02 
7.00000000E+04,-6.13326000E+02 
7.00000000E+04,-6.25352000E+02 
7.00000000E+04,-6.37378000E+02 
7.00000000E+04,-6.49404000E+02 
7.00000000E+04,-6.61430000E+02 
7.00000000E+04,-6.73456000E+02 
7.00000000E+04,-6.85482000E+02 
7.00000000E+04,-6.97508000E+02 
7.00000000E+04,-7.09534000E+02 
7.00000000E+04,-7.21560000E+02 
7.00000000E+04,-7.33586000E+02 
7.00000000E+04,-7.45612000E+02 
7.00000000E+04,-7.57638000E+02 
7.00000000E+04,-7.69664000E+02 
7.00000000E+04,-7.81690000E+02 
7.00000000E+04,-7.93716000E+02 
7.00000000E+04,-8.05742000E+02 
7.00000000E+04,-8.17768000E+02 
7.00000000E+04,-8.29794000E+02 
7.00000000E+04,-8.41820000E+02 
7.00000000E+04,-8.53846000E+02 
7.00000000E+04,-8.65872000E+02 
7.00000000E+04,-8.77898000E+02 
7.00000000E+04,-8.89924000E+02 
7.00000000E+04,-9.01950000E+02 
7.00000000E+04,-9.13976000E+02 
7.00000000E+04,-9.26002000E+02 
7.00000000E+04,-9.38028000E+02 
7.00000000E+04,-9.50054000E+02 
7.00000000E+04,-9.62080000E+02 
7.00000000E+04,-9.74106000E+02 
7.00000000E+04,-9.86132000E+02 
7.00000000E+04,-9.98158000E+02 
7.00000000E+04,-1.01018400E+03 
7.00000000E+04,-1.02221000E+03 
7.00000000E+04,-1.03423600E+03 
7.00000000E+04,-1.04626200E+03 
7.00000000E+04,-1.05828800E+03 
7.00000000E+04,-1.07031400E+03 
7.00000000E+04,-1.08234000E+03 
7.00000000E+04,-1.09436600E+03 
7.00000000E+04,-1.10639200E+03 
7.00000000E+04,-1.11841800E+03 
7.00000000E+04,-1.13044400E+03 
7.00000000E+04,-1.14247000E+03 
7.00000000E+04,-1.15449600E+03 
7.00000000E+04,-1.16652200E+03 
7.00000000E+04,-1.17854800E+03 
7.00000000E+04,-1.19057400E+03 
7.00000000E+04,-1.20260000E+03 
7.00000000E+04,-1.21462600E+03 
7.00000000E+04,-1.22665200E+03 
7.00000000E+04,-1.23867800E+03 
7.00000000E+04,-1.25070400E+03 
7.00000000E+04,-1.26273000E+03 
7.00000000E+04,-1.27475600E+03 
7.00000000E+04,-1.28678200E+03 
7.00000000E+04,-1.29880800E+03 
7.00000000E+04,-1.31083400E+03 
7.00000000E+04,-1.32286000E+03 
7.00000000E+04,-1.33488600E+03 
7.00000000E+04,-1.34691200E+03 
7.00000000E+04,-1.35893800E+03 
7.00000000E+04,-1.37096400E+03 
7.00000000E+04,-1.38299000E+03 
7.00000000E+04,-1.39501600E+03 
7.00000000E+04,-1.40704200E+03 
7.00000000E+04,-1.41906800E+03 
7.00000000E+04,-1.43109400E+03 
7.00000000E+04,-1.44312000E+03 
7.00000000E+04,-1.45514600E+03 
7.00000000E+04,-1.46717200E+03 
7.00000000E+04,-1.47919800E+03 
7.00000000E+04,-1.49122400E+03 
7.00000000E+04,-1.50325000E+03 
7.00000000E+04,-1.51527600E+03 
7.00000000E+04,-1.52730200E+03 
7.00000000E+04,-1.53932800E+03 
7.00000000E+04,-1.55135400E+03 
7.00000000E+04,-1.56338000E+03 
7.00000000E+04,-1.57540600E+03 
7.00000000E+04,-1.58743200E+03 
7.00000000E+04,-1.59945800E+03 
7.00000000E+04,-1.61148400E+03 
7.00000000E+04,-1.62351000E+03 
7.00000000E+04,-1.63553600E+03 
7.00000000E+04,-1.64756200E+03 
7.00000000E+04,-1.65958800E+03 
7.00000000E+04,-1.67161400E+03 
7.00000000E+04,-1.68364000E+03 
7.00000000E+04,-1.69566600E+03 
7.00000000E+04,-1.70769200E+03 
7.00000000E+04,-1.71971800E+03 
7.00000000E+04,-1.73174400E+03 
7.00000000E+04,-1.74377000E+03 
7.00000000E+04,-1.75579600E+03 
7.00000000E+04,-1.76782200E+03 
7.00000000E+04,-1.77984800E+03 
7.00000000E+04,-1.79187400E+03 
7.00000000E+04,-1.80390000E+03 
7.00000000E+04,-1.81592600E+03 
7.00000000E+04,-1.82795200E+03 
7.00000000E+04,-1.83997800E+03 
7.00000000E+04,-1.85200400E+03 
7.00000000E+04,-1.86403000E+03 
7.00000000E+04,-1.87605600E+03 
7.00000000E+04,-1.88808200E+03 
7.00000000E+04,-1.90010800E+03 
7.00000000E+04,-1.91213400E+03 
7.00000000E+04,-1.92416000E+03 
7.00000000E+04,-1.93618600E+03 
7.00000000E+04,-1.94821200E+03 
7.00000000E+04,-1.96023800E+03 
7.00000000E+04,-1.97226400E+03 
7.00000000E+04,-1.98429000E+03 
7.00000000E+04,-1.99631600E+03 
7.00000000E+04,-2.00834200E+03 
7.00000000E+04,-2.02036800E+03 
7.00000000E+04,-2.03239400E+03 
7.00000000E+04,-2.04442000E+03 
7.00000000E+04,-2.05644600E+03 
7.00000000E+04,-2.06847200E+03 
7.00000000E+04,-2.08049800E+03 
7.00000000E+04,-2.09252400E+03 
7.00000000E+04,-2.10455000E+03 
7.00000000E+04,-2.11657600E+03 
7.00000000E+04,-2.12860200E+03 
7.00000000E+04,-2.14062800E+03 
7.00000000E+04,-2.15265400E+03 
7.00000000E+04,-2.16468000E+03 
7.00000000E+04,-2.17670600E+03 
7.00000000E+04,-2.18873200E+03 
7.00000000E+04,-2.20075800E+03 
7.00000000E+04,-2.21278400E+03 
7.00000000E+04,-2.22481000E+03 
7.00000000E+04,-2.23683600E+03 
7.00000000E+04,-2.24886200E+03 
7.00000000E+04,-2.26088800E+03 
7.00000000E+04,-2.27291400E+03 
7.00000000E+04,-2.28494000E+03 
7.00000000E+04,-2.29696600E+03 
7.00000000E+04,-2.30899200E+03 
7.00000000E+04,-2.32101800E+03 
7.00000000E+04,-2.33304400E+03 
7.00000000E+04,-2.34507000E+03 
7.00000000E+04,-2.35709600E+03 
7.00000000E+04,-2.36912200E+03 
7.00000000E+04,-2.38114800E+03 
7.00000000E+04,-2.39317400E+03 
7.00000000E+04,-2.40520000E+03 
1.50000000E+05,-2.42798100E+03 
